time_step,flow,occupancy,speed,split,z_flow,z_occupancy,z_speed,is_anomaly,sensor_id
8950,38.0,0.0119,67.3,train,-1.2954160482036825,-0.7659229103135581,0.5356291216200655,0,240
5580,226.0,0.0459,69.1,train,0.1813429380852426,-0.33307466643650435,0.6489118068684134,0,240
10253,276.0,0.0739,65.3,train,1.6958879375531377,1.6653914547983129,-0.2577308507445405,0,278
3353,311.0,0.2576,17.4,train,0.8490265223116183,2.3620421932332687,-2.6048186527646973,0,240
2046,110.0,0.0213,61.2,train,-1.2822741517704144,-1.101463467703855,-0.11275117441859818,0,298
10678,17.0,0.0032,66.4,train,-1.4658573974630194,-1.4090357611776416,0.4911695558091827,0,71
9082,397.0,0.0587,59.8,train,0.12436716204566498,-0.11381912167887182,-0.2981069766072164,0,298
3226,43.0,0.0111,67.0,train,-0.9416274227072152,-0.8985235001731962,0.330673983603228,0,278
9059,215.0,0.0579999999999999,65.0,train,1.0053796243519295,1.0162473818039301,-0.36156699798238084,0,278
5296,329.0,0.0815,61.0,train,0.9904183401477921,0.12014290656417542,0.13913972325084714,0,240
6481,224.0,0.0678,60.2,train,1.1072579000701406,1.4163487601275138,-2.0229453537878412,0,278
2736,518.0,0.0778,64.8,train,0.7174110609019214,0.39056609246757656,0.36387803120927464,0,298
6825,230.0,0.2777,12.8,train,0.21276334204883676,2.617931890348821,-2.8943188483993647,0,240
3624,296.0,0.034,66.4,train,-0.37065295187567304,-0.766086911700719,0.5757132337105529,0,298
4768,116.0,0.0305,67.5,train,-0.11528140854839215,-0.1064860777775388,0.5037342289996303,0,278
356,181.0,0.0294,67.2,train,-0.5125237952184473,-0.4736222850969531,0.7135291676406756,0,71
8841,293.0,0.0764,64.2,train,1.8883246805764253,1.7674581329420833,-0.6384633906166234,0,278
3549,221.0,0.0459,67.7,train,0.1420674331307499,-0.33307466643650435,0.5608030516752543,0,240
9246,27.0,0.0044,68.3,train,-1.4077272997651795,-1.3661923958609687,1.0192736339089778,0,71
743,457.0,0.0758,63.1,train,0.4184385168504202,0.3377508867977917,0.13880312855166824,0,298
10479,458.0,0.0771,58.6,train,1.0976799110117141,1.2294014862407892,-1.676836659547882,0,71
5257,220.0,0.0359,64.9,train,-0.2858164141968722,-0.24155405629830892,0.07424528362513201,0,71
10135,30.0,0.008,67.7,train,-1.0887849320779646,-1.0250861810714713,0.5729583271581921,0,278
6721,637.0,0.1218,52.6,train,1.300652581264686,1.552500617202851,-1.251365387862963,0,298
4943,16.0,0.0048,65.8,train,-1.2472622498618484,-1.1557315290954973,-0.08467060534813829,0,278
1325,450.0,0.0818,57.6,train,1.0511758328534424,1.397204667064424,-1.9547861743372492,0,71
1667,252.0,0.0547,63.7,train,0.3855755638486046,-0.2210433562565611,0.30906375112336953,0,240
10231,329.0,0.0824,59.5,train,0.9904183401477921,0.13160065419621506,0.04473748554389035,0,240
8763,274.0,0.067,61.0,train,0.5583877856483724,-0.06445413861868571,0.13913972325084714,0,240
4601,60.0,0.0148,66.3,train,-1.1226038264039147,-0.7290035012769859,0.4726942964820943,0,240
7279,338.0,0.0578,61.0,train,0.400118738637637,0.5403373607309688,-1.0097578240534013,0,71
10931,120.0,0.0196,65.3,train,-0.8671173911752699,-0.8235097685164473,0.1854250895408765,0,71
5641,239.0,0.0567,68.1,train,1.277055026267159,0.9631727091691737,0.711406523475311,0,278
10236,405.0,0.0638,62.1,train,0.7895903932131634,0.7545541873143325,-0.7040133577850971,0,71
4359,183.0,0.0275,68.8,train,-0.9244873367579621,-0.937736330127521,0.8934660374624674,0,298
11286,16.0,0.0043,67.3,train,-1.2472622498618484,-1.1761448647242514,0.4345101308410684,0,278
944,672.0,0.1194,56.7,train,1.4721942049007932,1.4891223703991088,-0.7085376814534401,0,298
1257,347.0,0.0828,61.8,train,1.1318101579839657,0.13669298647712155,0.18948758336122393,0,240
5756,123.0,0.0169,67.5,train,-0.8496783618659179,-0.919907340478961,0.796914022077485,0,71
5689,449.0,0.0548,63.2,train,0.3792290028764529,-0.21680877273495294,0.15204282870799823,0,298
825,109.0,0.0254,68.6,train,-0.1945200674403341,-0.31470210119083014,0.8844667688717132,0,278
