time_step,flow,speed,occupancy
0,86.0,0.0116,68.5
1,86.0,0.011000000000000001,71.0
2,67.0,0.0793,59.4
3,101.0,0.059000000000000004,58.5
4,97.0,0.0484,56.5
5,100.0,0.0851,59.5
6,117.0,0.0151,70.1
7,131.0,0.0576,64.3
8,156.0,0.0217,71.2
9,131.0,0.0678,64.5
10,154.0,0.0187,71.4
11,186.0,0.0555,67.4
12,174.0,0.0763,63.6
13,198.0,0.0258,70.5
14,213.0,0.0273,69.3
15,214.0,0.0408,70.0
16,189.0,0.0394,69.7
17,155.0,0.0995,63.0
18,153.0,0.0293,72.2
19,173.0,0.0358,72.3
20,148.0,0.0997,63.7
21,145.0,0.0266,72.0
22,147.0,0.0194,70.7
23,133.0,0.0465,66.7
24,127.0,0.0711,62.1
25,129.0,0.0463,61.7
26,122.0,0.1019,60.8
27,117.0,0.0404,59.7
28,138.0,0.0516,60.7
29,92.0,0.0122,71.0
30,101.0,0.0126,70.9
31,97.0,0.046,64.1
32,94.0,0.0566,59.6
33,110.0,0.0748,55.8
34,90.0,0.0739,56.5
35,88.0,0.0569,55.6
36,85.0,0.0413,56.1
37,90.0,0.0375,55.4
38,80.0,0.0649,53.5
39,79.0,0.0849,56.8
40,83.0,0.0101,65.8
41,89.0,0.0258,64.8
42,61.0,0.1713,60.9
43,60.0,0.0331,57.1
44,67.0,0.0659,54.0
45,93.0,0.0119,72.0
46,76.0,0.0429,63.1
47,89.0,0.0475,57.3
48,79.0,0.0623,52.3
49,71.0,0.0277,54.9
50,86.0,0.0443,54.1
51,71.0,0.0549,51.3
52,85.0,0.0441,53.4
53,95.0,0.0825,49.2
54,74.0,0.0107,62.4
55,73.0,0.0105,67.3
56,94.0,0.0172,71.1
57,96.0,0.0192,67.2
58,88.0,0.0157,67.7
59,81.0,0.0766,60.6
60,95.0,0.0341,57.0
61,84.0,0.0108,66.0
62,59.0,0.0969,61.0
63,86.0,0.0123,66.0
64,96.0,0.013000000000000001,69.0
65,89.0,0.011000000000000001,71.8
66,91.0,0.0417,61.7
67,96.0,0.0664,57.7
68,94.0,0.0135,63.3
69,97.0,0.0661,58.5
70,96.0,0.0252,58.3
71,96.0,0.0285,58.2
72,84.0,0.0487,55.5
73,112.0,0.0575,50.9
74,87.0,0.0205,55.8
75,99.0,0.0421,50.6
76,99.0,0.0307,51.4
77,112.0,0.0655,49.0
78,98.0,0.1022,50.9
79,104.0,0.0153,57.5
80,118.0,0.0348,55.9
81,105.0,0.023,54.4
82,117.0,0.015,63.1
83,108.0,0.0142,66.7
84,105.0,0.0501,58.1
85,85.0,0.0123,63.6
86,134.0,0.0499,58.7
87,110.0,0.0627,58.5
88,113.0,0.1048,55.4
89,113.0,0.0171,58.0
90,128.0,0.0175,63.3
91,133.0,0.0267,59.5
92,118.0,0.0274,59.7
93,139.0,0.0278,57.0
94,172.0,0.023,61.5
95,122.0,0.0198,61.3
96,125.0,0.0148,65.6
97,147.0,0.0221,63.9
98,143.0,0.0644,57.8
99,146.0,0.018000000000000002,64.9
100,164.0,0.0198,69.0
101,187.0,0.0305,63.9
102,179.0,0.0619,57.5
103,162.0,0.0205,63.4
104,185.0,0.0331,61.1
105,170.0,0.0445,56.9
106,165.0,0.0355,58.2
107,204.0,0.0555,53.8
108,181.0,0.0395,53.2
109,204.0,0.0771,52.5
110,205.0,0.0251,62.5
111,219.0,0.0332,62.3
112,215.0,0.0251,68.3
113,206.0,0.0413,61.5
114,257.0,0.0316,66.3
115,247.0,0.0368,64.0
116,231.0,0.0803,58.1
117,268.0,0.0951,55.6
118,278.0,0.0321,64.9
119,288.0,0.0623,60.5
120,266.0,0.0327,64.2
121,301.0,0.0423,63.6
122,331.0,0.0465,63.3
123,316.0,0.0439,63.6
124,344.0,0.052000000000000005,62.6
125,360.0,0.0478,64.5
126,314.0,0.0825,60.3
127,315.0,0.0806,55.0
128,386.0,0.062,57.4
129,274.0,0.0579,58.1
130,364.0,0.0695,56.3
131,397.0,0.0674,57.4
132,394.0,0.0796,56.4
133,408.0,0.0575,59.3
134,406.0,0.0609,60.2
135,411.0,0.0649,60.3
136,401.0,0.0775,58.5
137,398.0,0.0713,58.8
138,425.0,0.0733,57.3
139,464.0,0.0765,58.0
140,443.0,0.0717,58.3
141,489.0,0.0665,61.7
142,456.0,0.057999999999999996,65.7
143,540.0,0.083,63.0
144,490.0,0.0847,62.2
145,488.0,0.0563,68.8
146,418.0,0.05,71.0
147,487.0,0.0859,64.6
148,546.0,0.0687,67.6
149,546.0,0.0715,67.7
150,492.0,0.0592,70.7
151,601.0,0.0864,66.8
152,510.0,0.0698,66.4
153,508.0,0.0643,68.1
154,472.0,0.0556,70.4
155,536.0,0.0887,64.8
156,642.0,0.0882,65.1
157,588.0,0.0731,67.0
158,536.0,0.0609,71.8
159,601.0,0.0727,70.7
160,579.0,0.0796,68.1
161,530.0,0.0703,67.7
