time_step,flow,speed,occupancy
0,44.0,0.0062,67.3
1,46.0,0.006999999999999999,67.0
2,37.0,0.0053,66.3
3,56.0,0.0079,66.2
4,88.0,0.0128,66.6
5,87.0,0.012,67.3
6,86.0,0.0119,66.6
7,96.0,0.0135,67.2
8,102.0,0.0148,67.4
9,121.0,0.0171,66.9
10,135.0,0.0192,66.8
11,122.0,0.017,67.8
12,127.0,0.0175,67.5
13,149.0,0.0217,66.7
14,147.0,0.021,66.6
15,127.0,0.0184,66.3
16,134.0,0.0191,66.8
17,120.0,0.0169,67.0
18,114.0,0.0164,67.0
19,115.0,0.0161,67.2
20,111.0,0.0158,67.0
21,102.0,0.0144,67.3
22,96.0,0.0132,67.4
23,96.0,0.0137,67.7
24,86.0,0.0118,67.5
25,88.0,0.012,67.7
26,81.0,0.0112,68.2
27,73.0,0.0107,67.8
28,63.0,0.009000000000000001,67.6
29,70.0,0.0093,68.2
30,73.0,0.0106,66.9
31,63.0,0.0088,67.6
32,68.0,0.0096,67.3
33,68.0,0.0091,67.6
34,50.0,0.0073,67.0
35,50.0,0.0072,67.7
36,43.0,0.0057,68.1
37,52.0,0.0072,67.7
38,46.0,0.006999999999999999,67.4
39,38.0,0.0051,66.5
40,41.0,0.0057,67.8
41,35.0,0.0049,67.4
42,27.0,0.004,67.1
43,48.0,0.006999999999999999,67.2
44,36.0,0.0053,66.8
45,30.0,0.0047,67.4
46,37.0,0.0061,66.1
47,43.0,0.0059,67.2
48,26.0,0.0039,67.4
49,30.0,0.0042,67.8
50,24.0,0.0032,68.1
51,36.0,0.005,67.8
52,25.0,0.0041,66.5
53,30.0,0.0053,65.7
54,28.0,0.0037,67.2
55,28.0,0.004,67.0
56,32.0,0.0043,67.2
57,27.0,0.0037,66.3
58,21.0,0.0028,66.9
59,33.0,0.0045,67.6
60,32.0,0.0046,67.5
61,33.0,0.0049,67.0
62,37.0,0.0057,67.1
63,27.0,0.004,66.2
64,22.0,0.0029,67.8
65,28.0,0.0039,68.0
66,36.0,0.0051,67.5
67,24.0,0.0033,66.8
68,41.0,0.0058,67.2
69,31.0,0.0047,67.7
70,39.0,0.0058,67.0
71,47.0,0.0074,67.3
72,31.0,0.0044,67.1
73,43.0,0.0056,68.5
74,27.0,0.0038,68.1
