time_step,flow,occupancy,speed,split,z_flow,z_occupancy,z_speed,is_anomaly
0,86.0,0.0116,68.5,train,-1.3999026936923165,-1.3576172152023132,0.8537469369934784,0
1,86.0,0.011,71.0,train,-1.3999026936923165,-1.3734617769032489,1.184739440901724,0
2,67.0,0.0793,59.4,train,-1.493025289380489,0.4301774967199155,-0.3510657772325355,0
3,101.0,0.059,58.5,train,-1.3263848549911277,-0.10589684082840417,-0.47022307863950374,0
4,97.0,0.0484,56.5,train,-1.3459896119781114,-0.38581743087826564,-0.7350170817661001,0
5,100.0,0.0851,59.5,train,-1.3312860442378736,0.5833415931622925,-0.33782607707620554,0
6,117.0,0.0151,70.1,train,-1.2479658270431928,-1.265190605280189,1.0655821394947549,0
7,131.0,0.0576,64.3,train,-1.17934917758875,-0.14286748479725375,0.2976795304276255,0
8,156.0,0.0217,71.2,train,-1.056819446420102,-1.090900426569898,1.211218841214384,0
9,131.0,0.0678,64.5,train,-1.17934917758875,0.12649006411865074,0.32415893074028557,0
10,154.0,0.0187,71.4,train,-1.066621824913594,-1.1701232350745756,1.2376982415270439,0
11,186.0,0.0555,67.4,train,-0.9097837690177244,-0.19832345075052815,0.7081102352738511,0
12,174.0,0.0763,63.6,train,-0.9685980399786754,0.350954688215238,0.20500162933331734,0
13,198.0,0.0258,70.5,train,-0.8509694980567732,-0.9826292549468382,1.1185409401200748,0
14,213.0,0.0273,69.3,train,-0.7774516593555845,-0.9430178506944993,0.9596645382441166,0
15,214.0,0.0408,70.0,train,-0.7725504701088386,-0.5865152124234493,1.0523424393384258,0
16,189.0,0.0394,69.7,train,-0.8950802012774866,-0.623485856392299,1.0126233388694366,0
17,155.0,0.0995,63.0,train,-1.0617206356668478,0.9636110739847462,0.1255634283953382,0
18,153.0,0.0293,72.2,train,-1.0715230141603398,-0.8902026450247142,1.343615842777682,0
19,173.0,0.0358,72.3,train,-0.9734992292254213,-0.7185532265979123,1.3568555429340112,0
20,148.0,0.0997,63.7,train,-1.0960289603940694,0.9688925945517245,0.21824132948964733,0
21,145.0,0.0266,72.0,train,-1.110732528134307,-0.9615031726789243,1.317136442465022,0
22,147.0,0.0194,70.7,train,-1.1009301496408153,-1.1516379130901508,1.1450203404327348,0
23,133.0,0.0465,66.7,train,-1.1695467990952582,-0.43599187626456154,0.615432334179542,0
24,127.0,0.0711,62.1,train,-1.1989539345757336,0.21363515347379625,0.0064061269883700185,0
25,129.0,0.0463,61.7,train,-1.1891515560822419,-0.44127339683154004,-0.04655267363694908,0
26,122.0,0.1019,60.8,train,-1.2234598808094632,1.0269893207884884,-0.1657099750439182,0
27,117.0,0.0404,59.7,train,-1.2479658270431928,-0.5970782535574064,-0.3113466767635455,0
28,138.0,0.0516,60.7,train,-1.1450408528615286,-0.3013131018066093,-0.1789496752002473,0
29,92.0,0.0122,71.0,train,-1.370495558211841,-1.3417726535013774,1.184739440901724,0
30,101.0,0.0126,70.9,train,-1.3263848549911277,-1.3312096123674206,1.1714997407453949,0
31,97.0,0.046,64.1,train,-1.3459896119781114,-0.44919567768200785,0.2712001301149655,0
32,94.0,0.0566,59.6,train,-1.360693179718349,-0.16927508763214638,-0.3245863769198755,0
33,110.0,0.0748,55.8,train,-1.2822741517704144,0.31134328396289906,-0.8276949828604093,0
34,90.0,0.0739,56.5,train,-1.3802979367053327,0.2875764414114954,-0.7350170817661001,0
35,88.0,0.0569,55.6,train,-1.3901003151988247,-0.16135280678167857,-0.8541743831730684,0
36,85.0,0.0413,56.1,train,-1.4048038829390623,-0.5733114110060029,-0.7879758823914192,0
37,90.0,0.0375,55.4,train,-1.3802979367053327,-0.6736603017785949,-0.8806537834857284,0
38,80.0,0.0649,53.5,train,-1.429309829172792,0.049908015897462216,-1.132208086455995,0
39,79.0,0.0849,56.8,train,-1.4342110184195378,0.5780600725953142,-0.6952979812971111,0
40,83.0,0.0101,65.8,train,-1.4146062614325543,-1.3972286194546522,0.49627503277257284,0
41,89.0,0.0258,64.8,train,-1.3851991259520786,-0.9826292549468382,0.36387803120927464,0
42,61.0,0.1713,60.9,train,-1.5224324248609644,2.8596769575300347,-0.15247027488758821,0
43,60.0,0.0331,57.1,train,-1.5273336141077103,-0.7898537542521223,-0.6555788808281211,0
44,67.0,0.0659,54.0,train,-1.493025289380489,0.07631561873235483,-1.0660095856743457,0
45,93.0,0.0119,72.0,train,-1.365594368965095,-1.3496949343518454,1.317136442465022,0
46,76.0,0.0429,63.1,train,-1.4489145861597756,-0.5310592464701749,0.13880312855166824,0
47,89.0,0.0475,57.3,train,-1.3851991259520786,-0.4095842734296689,-0.6290994805154619,0
48,79.0,0.0623,52.3,train,-1.4342110184195378,-0.01875175147325849,-1.291084488331953,0
49,71.0,0.0277,54.9,train,-1.4734205323935052,-0.9324548095605423,-0.9468522842673774,0
50,86.0,0.0443,54.1,train,-1.3999026936923165,-0.49408860250132525,-1.0527698855180156,0
51,71.0,0.0549,51.3,train,-1.4734205323935052,-0.2141680124514638,-1.4234814898952513,0
52,85.0,0.0441,53.4,train,-1.4048038829390623,-0.49937012306830375,-1.1454477866123247,0
53,95.0,0.0825,49.2,train,-1.3557919904716031,0.5146818257915721,-1.7015151931781767,0
54,74.0,0.0107,62.4,train,-1.4587169646532674,-1.3813840577537164,0.04612522745735911,0
55,73.0,0.0105,67.3,train,-1.4636181539000135,-1.386665578320695,0.6948705351175202,0
56,94.0,0.0172,71.1,train,-1.360693179718349,-1.2097346393269146,1.197979141058053,0
57,96.0,0.0192,67.2,train,-1.3508908012248573,-1.1569194336571296,0.6816308349611911,0
58,88.0,0.0157,67.7,train,-1.3901003151988247,-1.2493460435792536,0.7478293357428402,0
59,81.0,0.0766,60.6,train,-1.424408639926046,0.35887696906570565,-0.1921893753565773,0
60,95.0,0.0341,57.0,train,-1.3557919904716031,-0.7634461514172298,-0.668818580984451,0
61,84.0,0.0108,66.0,train,-1.4097050721858082,-1.3787432974702272,0.5227544330852328,0
62,59.0,0.0969,61.0,train,-1.5322348033544564,0.8949513066140253,-0.13923057473125822,0
63,86.0,0.0123,66.0,train,-1.3999026936923165,-1.3391318932178884,0.5227544330852328,0
64,96.0,0.013,69.0,train,-1.3508908012248573,-1.3206465712334636,0.9199454377751275,0
65,89.0,0.011,71.8,train,-1.3851991259520786,-1.3734617769032489,1.2906570421523622,0
66,91.0,0.0417,61.7,train,-1.3753967474585869,-0.562748369872046,-0.04655267363694908,0
67,96.0,0.0664,57.7,train,-1.3508908012248573,0.08951942014980115,-0.576140679890142,0
68,94.0,0.0135,63.3,train,-1.360693179718349,-1.3074427698160171,0.16528252886432732,0
69,97.0,0.0661,58.5,train,-1.3459896119781114,0.0815971392993335,-0.47022307863950374,0
70,96.0,0.0252,58.3,train,-1.3508908012248573,-0.9984738166477738,-0.49670247895216374,0
71,96.0,0.0285,58.2,train,-1.3508908012248573,-0.9113287272926284,-0.5099421791084928,0
72,84.0,0.0487,55.5,train,-1.4097050721858082,-0.37789515002779783,-0.8674140833293984,0
73,112.0,0.0575,50.9,train,-1.2724717732769224,-0.14550824508074292,-1.4764402905205702,0
74,87.0,0.0205,55.8,train,-1.3950015044455706,-1.1225895499717689,-0.8276949828604093,0
75,99.0,0.0421,50.6,train,-1.3361872334846194,-0.552185328738089,-1.5161593909895594,0
76,99.0,0.0307,51.4,train,-1.3361872334846194,-0.8532320010558644,-1.4102417897389212,0
77,112.0,0.0655,49.0,train,-1.2724717732769224,0.06575257759839785,-1.7279945934908367,0
78,98.0,0.1022,50.9,train,-1.3410884227313653,1.0349116016389561,-1.4764402905205702,0
79,104.0,0.0153,57.5,train,-1.3116812872508898,-1.2599090847132106,-0.602620080202802,0
80,118.0,0.0348,55.9,train,-1.243064637796447,-0.744960829432805,-0.8144552827040793,0
81,105.0,0.023,54.4,train,-1.306780098004144,-1.0565705428845376,-1.0130507850490267,0
82,117.0,0.015,63.1,train,-1.2479658270431928,-1.2678313655636784,0.13880312855166824,0
83,108.0,0.0142,66.7,train,-1.2920765302639061,-1.2889574478315924,0.615432334179542,0
84,105.0,0.0501,58.1,train,-1.306780098004144,-0.34092450605894825,-0.5231818792648228,0
