time_step,flow,speed,occupancy
0,44.0,0.0091,67.1
1,37.0,0.0075,67.5
2,50.0,0.0104,67.6
3,53.0,0.0116,66.8
4,54.0,0.0113,66.6
5,61.0,0.0131,66.2
6,99.0,0.0208,67.6
7,94.0,0.0201,66.6
8,89.0,0.0187,67.1
9,79.0,0.0165,67.6
10,87.0,0.0183,67.5
11,84.0,0.0173,67.3
12,92.0,0.0189,68.0
13,96.0,0.0201,67.9
14,105.0,0.0219,68.1
15,119.0,0.025,67.6
16,107.0,0.0223,67.6
17,93.0,0.0194,68.5
18,110.0,0.0235,67.2
19,94.0,0.0196,67.3
20,92.0,0.0199,67.7
21,91.0,0.0188,67.7
22,92.0,0.0194,67.5
23,87.0,0.0187,67.1
24,92.0,0.0189,67.4
25,62.0,0.0132,67.1
26,61.0,0.0126,67.1
27,78.0,0.0173,67.3
28,81.0,0.0163,68.0
29,60.0,0.0126,68.1
30,57.0,0.0118,67.3
31,66.0,0.0138,68.1
32,47.0,0.0097,67.5
33,60.0,0.0118,68.6
34,54.0,0.0127,67.4
35,56.0,0.0115,67.3
36,43.0,0.0093,67.5
37,39.0,0.0086,66.8
38,53.0,0.0116,67.3
39,49.0,0.0102,66.5
40,32.0,0.0065,67.6
41,40.0,0.0099,66.9
42,32.0,0.0065,68.0
43,28.0,0.0059,66.9
44,28.0,0.006,67.0
45,35.0,0.0071,68.0
46,29.0,0.0063,66.6
47,32.0,0.0078,66.7
48,26.0,0.0065,66.0
49,31.0,0.0063,67.7
50,19.0,0.0042,67.7
51,31.0,0.0067,66.7
52,35.0,0.0069,66.9
53,24.0,0.0047,68.3
54,25.0,0.006,66.7
55,26.0,0.0061,67.4
56,23.0,0.0058,66.3
57,24.0,0.0051,67.0
58,28.0,0.0058,66.8
59,20.0,0.0045,66.9
60,22.0,0.0049,66.3
61,23.0,0.0048,67.4
62,20.0,0.0041,66.3
63,20.0,0.0042,66.4
64,28.0,0.0059,67.3
65,18.0,0.0036,66.7
66,27.0,0.0059,66.2
67,26.0,0.0054,66.8
68,25.0,0.0051,67.6
69,26.0,0.0056,67.5
70,25.0,0.005,67.2
71,21.0,0.0043,67.9
72,25.0,0.0059,67.6
73,46.0,0.0106,67.7
74,33.0,0.0066,67.5
75,47.0,0.0096,67.1
76,22.0,0.0046,67.5
77,27.0,0.0058,67.6
78,15.0,0.0036,66.9
79,53.0,0.0123,67.0
80,53.0,0.0118,67.2
81,63.0,0.013000000000000001,67.3
82,66.0,0.0143,67.1
83,30.0,0.0068,66.9
84,37.0,0.0075,66.9
85,42.0,0.0093,65.8
86,26.0,0.005,68.0
87,50.0,0.0106,67.1
88,50.0,0.0104,67.2
89,41.0,0.0084,66.9
90,36.0,0.0079,67.7
91,57.0,0.0118,67.4
92,54.0,0.0107,67.2
93,71.0,0.0159,66.2
94,57.0,0.0118,66.5
95,64.0,0.0125,67.4
96,58.0,0.0113,68.4
97,72.0,0.0144,67.5
98,56.0,0.0125,66.5
99,72.0,0.0145,67.4
100,63.0,0.0141,66.3
101,64.0,0.0148,65.4
102,67.0,0.013999999999999999,66.7
103,69.0,0.0156,65.6
104,89.0,0.0176,66.9
105,77.0,0.0158,67.3
106,105.0,0.0206,68.3
107,107.0,0.0224,67.1
108,80.0,0.0162,67.1
109,86.0,0.0179,67.6
110,110.0,0.0216,67.6
111,108.0,0.022000000000000002,67.4
112,117.0,0.0238,66.9
113,99.0,0.0199,67.3
114,116.0,0.0236,67.0
115,120.0,0.0242,67.0
116,120.0,0.0247,67.5
